./2gram-8980.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,10918.0,2.9933431148529053,6771897729.0,1.0,10919.0
1,9636.0,3.2382161617279053,6178473361.0,1.0,9637.0
2,6983.0,3.6644508838653564,5099079602.0,1.0,6984.0
3,4345.0,2.5997629165649414,3150010884.0,1.0,4346.0
4,2244.0,3.0927250385284424,2547884107.0,1.0,2245.0
5,904.0,2.9585840702056885,734808726.0,1.0,905.0
6,273.0,2.6135621070861816,540803140.0,1.0,274.0
7,54.0,2.8409600257873535,299396198.0,1.0,55.0
8,10.0,2.5123746395111084,216831606.0,1.0,11.0
9,4.0,2.9532570838928223,207364704.0,1.0,5.0
./3gram-8980.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,9450.0,5.551378011703491,13637662553.0,1.0,9451.0
1,7638.0,3.355003833770752,10373398746.0,1.0,7639.0
2,4873.0,3.401571750640869,7923750172.0,1.0,4874.0
3,2602.0,4.2405030727386475,4508774545.0,1.0,2603.0
4,1174.0,4.417814016342163,2078121454.0,1.0,1175.0
5,446.0,2.6142311096191406,1460615840.0,1.0,447.0
6,157.0,5.514371156692505,563976247.0,1.0,158.0
7,48.0,3.331968069076538,533408928.0,1.0,49.0
8,10.0,4.014912128448486,336608166.0,1.0,11.0
9,5.0,4.066452980041504,231660056.0,1.0,6.0
./4gram-8980.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,8032.0,5.899463891983032,21570106333.0,1.0,8033.0
1,5085.0,4.363005876541138,17732620698.0,1.0,5086.0
2,2731.0,5.061360120773315,9973293171.0,1.0,2732.0
3,1253.0,6.425542831420898,4643490116.0,1.0,1254.0
4,520.0,5.008282899856567,1889637520.0,1.0,521.0
5,230.0,4.818538665771484,1207489637.0,1.0,231.0
6,83.0,4.420406103134155,815882340.0,1.0,84.0
7,46.0,4.97362208366394,445277629.0,1.0,47.0
8,18.0,4.553023099899292,204088410.0,1.0,19.0
9,1.0,4.718523263931274,172272099.0,1.0,2.0
./5gram-8980.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,7238.0,9.616452932357788,19262067053.0,1.0,7239.0
1,5691.0,7.985604763031006,19502251748.0,1.0,5692.0
2,3711.0,6.5264880657196045,13294840051.0,1.0,3712.0
3,2090.0,6.3714282512664795,7448330387.0,1.0,2091.0
4,989.0,7.007421970367432,3501867248.0,1.0,990.0
5,478.0,6.2465431690216064,2024038258.0,1.0,479.0
6,183.0,7.150994062423706,1165715420.0,1.0,184.0
7,74.0,5.515128135681152,539637391.0,1.0,75.0
8,33.0,8.023590087890625,410567319.0,1.0,34.0
9,9.0,7.794662952423096,258797941.0,1.0,10.0
./6gram-8980.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,4031.0,5.848994731903076,3761231528.0,1.0,4032.0
1,2485.0,4.903482913970947,2675341427.0,1.0,2486.0
2,1376.0,4.362229108810425,1733554711.0,1.0,1377.0
3,656.0,5.1954381465911865,1082302317.0,1.0,657.0
4,246.0,6.11078405380249,584163506.0,1.0,247.0
5,90.0,5.077395915985107,435485541.0,1.0,91.0
6,55.0,5.085184097290039,327629812.0,1.0,56.0
7,39.0,6.347768068313599,691051513.0,1.0,40.0
8,13.0,5.687122821807861,204356872.0,1.0,14.0
9,5.0,4.998389005661011,285354473.0,1.0,6.0
./uc-8980.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,12873.0,3.3299059867858887,5772276661.0,1.0,12874.0
1,4310.0,7.743084192276001,2750628406.0,1.0,4311.0
2,3739.0,2.7815330028533936,2339423938.0,1.0,3740.0
3,1791.0,2.960961103439331,1182077976.0,1.0,1792.0
4,589.0,3.7192161083221436,1071283956.0,1.0,590.0
5,393.0,2.0577752590179443,425867126.0,1.0,394.0
6,344.0,2.6104729175567627,268837106.0,1.0,73.0
./2gram-8989.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
./3gram-8989.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,71704.0,38.27821111679077,69075719274.0,1.0,70873.0
./2gram-8981.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,16226.0,5.141824007034302,9312504079.0,1.0,16227.0
1,13648.0,4.896120071411133,7498253524.0,1.0,13649.0
2,9986.0,4.244935035705566,5704889199.0,1.0,9987.0
3,6293.0,4.882780075073242,4095680151.0,1.0,6294.0
4,3339.0,4.091902256011963,2553479176.0,1.0,3340.0
5,1325.0,5.897567987442017,1198413191.0,1.0,1326.0
6,396.0,3.7053699493408203,512740481.0,1.0,397.0
7,87.0,3.795562982559204,374186130.0,1.0,88.0
8,18.0,3.7645881175994873,193148527.0,1.0,19.0
9,5.0,4.014024972915649,197427223.0,1.0,6.0
./3gram-8981.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,13355.0,6.959089994430542,9712468279.0,1.0,13356.0
1,9616.0,5.22113299369812,6316774272.0,1.0,9617.0
2,6418.0,5.5369791984558105,4558639602.0,1.0,6419.0
3,3502.0,6.152970314025879,2714647812.0,1.0,3503.0
4,1582.0,5.257415056228638,1202283836.0,1.0,1583.0
5,677.0,6.311014890670776,1175897640.0,1.0,678.0
6,277.0,5.597501039505005,449064384.0,1.0,278.0
7,84.0,5.736262083053589,297907205.0,1.0,85.0
8,26.0,4.926007032394409,248287384.0,1.0,27.0
9,7.0,6.736341953277588,246734881.0,1.0,8.0
./4gram-8981.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,12372.0,9.056811094284058,23379855068.0,1.0,12373.0
1,7828.0,8.109880208969116,21822159170.0,1.0,7829.0
2,3267.0,8.001214981079102,7711201969.0,1.0,3268.0
3,1437.0,6.292973041534424,3211015380.0,1.0,1438.0
4,517.0,6.619777679443359,1338192378.0,1.0,518.0
5,184.0,7.259132146835327,737366099.0,1.0,185.0
6,58.0,7.10807204246521,446459880.0,1.0,59.0
7,25.0,5.481006145477295,201242204.0,1.0,26.0
8,2.0,1.8220160007476807,255810787.0,10.0,49.0
./2gram-8982.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
./3gram-8982.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,18713.0,9.381777048110962,21357795700.0,1.0,18714.0
